income,education,log_income,age_centered,age_centered_squared,region,household_size,female_head,predicted_probability
10800.0,Primary or less,9.287301413112312,4.179965845173733,17.472114466818958,North,2,0,0.007404366251940064
10800.0,Lower secondary,9.287301413112312,4.179965845173733,17.472114466818958,North,2,0,0.020462458634820813
10800.0,Upper secondary,9.287301413112312,4.179965845173733,17.472114466818958,North,2,0,0.04164754705179643
10800.0,University,9.287301413112312,4.179965845173733,17.472114466818958,North,2,0,0.06933515962345185
14401.568359375,Primary or less,9.575092393478895,4.179965845173733,17.472114466818958,North,2,0,0.01373674939622244
14401.568359375,Lower secondary,9.575092393478895,4.179965845173733,17.472114466818958,North,2,0,0.034993845184600046
14401.568359375,Upper secondary,9.575092393478895,4.179965845173733,17.472114466818958,North,2,0,0.06686167783821549
14401.568359375,University,9.575092393478895,4.179965845173733,17.472114466818958,North,2,0,0.10593109253652294
17362.860546874996,Primary or less,9.762088752685726,4.179965845173733,17.472114466818958,North,2,0,0.019998322589807146
17362.860546874996,Lower secondary,9.762088752685726,4.179965845173733,17.472114466818958,North,2,0,0.048351669701693696
17362.860546874996,Upper secondary,9.762088752685726,4.179965845173733,17.472114466818958,North,2,0,0.08872639069058358
17362.860546874996,University,9.762088752685726,4.179965845173733,17.472114466818958,North,2,0,0.13620679601041336
20301.755078125,Primary or less,9.918462618343176,4.179965845173733,17.472114466818958,North,2,0,0.02695484810727966
20301.755078125,Lower secondary,9.918462618343176,4.179965845173733,17.472114466818958,North,2,0,0.06241301279575881
20301.755078125,Upper secondary,9.918462618343176,4.179965845173733,17.472114466818958,North,2,0,0.11077490690849245
20301.755078125,University,9.918462618343176,4.179965845173733,17.472114466818958,North,2,0,0.1656996617679491
22802.822265625,Primary or less,10.034639590862021,4.179965845173733,17.472114466818958,North,2,0,0.033342916191581445
22802.822265625,Lower secondary,10.034639590862021,4.179965845173733,17.472114466818958,North,2,0,0.07478494984966286
22802.822265625,Upper secondary,10.034639590862021,4.179965845173733,17.472114466818958,North,2,0,0.129524544384034
22802.822265625,University,10.034639590862021,4.179965845173733,17.472114466818958,North,2,0,0.1901012447211593
25192.311718749996,Primary or less,10.134294136424138,4.179965845173733,17.472114466818958,North,2,0,0.039771295535032274
25192.311718749996,Lower secondary,10.134294136424138,4.179965845173733,17.472114466818958,North,2,0,0.08681800707889142
25192.311718749996,Upper secondary,10.134294136424138,4.179965845173733,17.472114466818958,North,2,0,0.14727272596059765
25192.311718749996,University,10.134294136424138,4.179965845173733,17.472114466818958,North,2,0,0.2127011370244521
28003.95078125,Primary or less,10.240100878534124,4.179965845173733,17.472114466818958,North,2,0,0.04766371936660816
28003.95078125,Lower secondary,10.240100878534124,4.179965845173733,17.472114466818958,North,2,0,0.10111785490696112
28003.95078125,Upper secondary,10.240100878534124,4.179965845173733,17.472114466818958,North,2,0,0.1678247120500329
28003.95078125,University,10.240100878534124,4.179965845173733,17.472114466818958,North,2,0,0.23833187744948553
30733.7171875,Primary or less,10.333115610630465,4.179965845173733,17.472114466818958,North,2,0,0.05559566248696012
30733.7171875,Lower secondary,10.333115610630465,4.179965845173733,17.472114466818958,North,2,0,0.11504481565220542
30733.7171875,Upper secondary,10.333115610630465,4.179965845173733,17.472114466818958,North,2,0,0.18734644769575998
30733.7171875,University,10.333115610630465,4.179965845173733,17.472114466818958,North,2,0,0.26219305904703494
33810.92421875,Primary or less,10.428539230990845,4.179965845173733,17.472114466818958,North,2,0,0.06478028056839348
33810.92421875,Lower secondary,10.428539230990845,4.179965845173733,17.472114466818958,North,2,0,0.13069670176056053
33810.92421875,Upper secondary,10.428539230990845,4.179965845173733,17.472114466818958,North,2,0,0.20877099417342382
33810.92421875,University,10.428539230990845,4.179965845173733,17.472114466818958,North,2,0,0.28788476443491773
37431.28515624999,Primary or less,10.530262135234238,4.179965845173733,17.472114466818958,North,2,0,0.07582492050452073
37431.28515624999,Lower secondary,10.530262135234238,4.179965845173733,17.472114466818958,North,2,0,0.1489389406462061
37431.28515624999,Upper secondary,10.530262135234238,4.179965845173733,17.472114466818958,North,2,0,0.23312803464744186
37431.28515624999,University,10.530262135234238,4.179965845173733,17.472114466818958,North,2,0,0.31651519649913423
40723.0296875,Primary or less,10.61454905139132,4.179965845173733,17.472114466818958,North,2,0,0.08601761450365841
40723.0296875,Lower secondary,10.61454905139132,4.179965845173733,17.472114466818958,North,2,0,0.16528655842785756
40723.0296875,Upper secondary,10.61454905139132,4.179965845173733,17.472114466818958,North,2,0,0.25445068917729413
40723.0296875,University,10.61454905139132,4.179965845173733,17.472114466818958,North,2,0,0.3411116728309931
44720.165624999994,Primary or less,10.708179811422301,4.179965845173733,17.472114466818958,North,2,0,0.09850513328021648
44720.165624999994,Lower secondary,10.708179811422301,4.179965845173733,17.472114466818958,North,2,0,0.18475726001420956
44720.165624999994,Upper secondary,10.708179811422301,4.179965845173733,17.472114466818958,North,2,0,0.27928317017107007
44720.165624999994,University,10.708179811422301,4.179965845173733,17.472114466818958,North,2,0,0.36924484870383034
49051.878125,Primary or less,10.80063375427066,4.179965845173733,17.472114466818958,North,2,0,0.11208977725387892
49051.878125,Lower secondary,10.80063375427066,4.179965845173733,17.472114466818958,North,2,0,0.205323381331474
49051.878125,Upper secondary,10.80063375427066,4.179965845173733,17.472114466818958,North,2,0,0.30490482450934797
49051.878125,University,10.80063375427066,4.179965845173733,17.472114466818958,North,2,0,0.3977300757419392
54016.32421875,Primary or less,10.89704158021009,4.179965845173733,17.472114466818958,North,2,0,0.12762902426789674
54016.32421875,Lower secondary,10.89704158021009,4.179965845173733,17.472114466818958,North,2,0,0.22815478667131983
54016.32421875,Upper secondary,10.89704158021009,4.179965845173733,17.472114466818958,North,2,0,0.33267937110470186
54016.32421875,University,10.89704158021009,4.179965845173733,17.472114466818958,North,2,0,0.42802354509843854
59969.40625,Primary or less,11.001589815329817,4.179965845173733,17.472114466818958,North,2,0,0.14610606381320174
59969.40625,Lower secondary,11.001589815329817,4.179965845173733,17.472114466818958,North,2,0,0.25445111877293697
59969.40625,Upper secondary,11.001589815329817,4.179965845173733,17.472114466818958,North,2,0,0.3638685847095096
59969.40625,University,11.001589815329817,4.179965845173733,17.472114466818958,North,2,0,0.4613556864756049
68200.83749999994,Primary or less,11.130212123814804,4.179965845173733,17.472114466818958,North,2,0,0.17119343952224608
68200.83749999994,Lower secondary,11.130212123814804,4.179965845173733,17.472114466818958,North,2,0,0.2888571771919132
68200.83749999994,Upper secondary,11.130212123814804,4.179965845173733,17.472114466818958,North,2,0,0.4034931927670958
