education,households,weighted_participation_rate,median_income
Lower secondary,2265.0,0.0650797114349805,26846.27734375
Primary or less,1406.0,0.022957743492042,20302.55859375
University,2314.0,0.27758908017257133,69418.9921875
Upper secondary,3632.0,0.1409982776476386,40307.046875
