nquest,stock_participation,mutual_fund_or_etf,direct_listed_stock,income,log_income,education,age,age_centered,age_centered_squared,region,household_size,female_head,weight
1029580,0,0,0,36030.48,10.492121,Upper secondary,93,38,-92,South and Islands,2,0,0.3157214
1029650,0,0,0,33200.0,10.410305,Upper secondary,67,12,-112,South and Islands,2,0,0.2635124
1029674,0,0,0,55720.773,10.928108,University,59,4,16,South and Islands,1,1,0.83843833
1029751,0,0,0,25317.025,10.139233,Lower secondary,71,16,0,South and Islands,2,0,0.64186925
1029758,0,0,0,9223.136,9.129471,Primary or less,67,12,-112,South and Islands,2,0,0.8787611
1029760,0,0,0,22534.67,10.02281,Primary or less,88,33,65,South and Islands,1,1,1.9003917
1029772,0,0,0,8053.1357,8.993816,Primary or less,69,14,-60,South and Islands,2,0,2.7351756
1029773,0,0,0,30085.264,10.31179,Lower secondary,80,25,113,South and Islands,2,0,0.23828076
1029781,0,0,0,23234.11,10.053377,Upper secondary,65,10,100,South and Islands,2,0,0.64249337
1029789,0,0,0,10000.0,9.2103405,Lower secondary,68,13,-87,South and Islands,2,0,0.09490674
1029791,0,0,0,27831.36,10.233919,Lower secondary,68,13,-87,South and Islands,2,0,1.1232938
1029792,0,0,0,16411.477,9.705736,Primary or less,80,25,113,South and Islands,1,1,0.79215264
1029813,0,0,0,16617.662,9.718222,Primary or less,80,25,113,South and Islands,2,0,1.4911134
1029823,0,0,0,15104.848,9.622771,Primary or less,81,26,-92,South and Islands,1,1,1.9793543
1029827,0,0,0,41898.13,10.642997,Upper secondary,73,18,68,South and Islands,2,0,1.479274
1029830,0,0,0,21025.008,9.953468,Lower secondary,74,19,105,South and Islands,2,0,0.61846733
1029853,0,0,0,15206.058,9.629449,Primary or less,80,25,113,South and Islands,1,1,1.979628
1029854,0,0,0,21616.434,9.981209,Primary or less,77,22,-28,South and Islands,2,0,1.558712
1029869,0,0,0,10240.976,9.234152,Primary or less,86,31,-63,South and Islands,1,1,1.9583546
1029879,0,0,0,14497.823,9.581754,Primary or less,76,21,-71,South and Islands,1,1,1.9538215
1029893,0,0,0,10915.696,9.297957,Lower secondary,73,18,68,South and Islands,1,1,1.0398576
1029913,0,0,0,23006.646,10.043538,Primary or less,85,30,-124,South and Islands,1,1,1.9008766
1029914,0,0,0,33217.582,10.410834,Primary or less,75,20,-112,South and Islands,2,0,1.4788066
1029917,0,0,0,6505.3345,8.780377,Primary or less,89,34,-124,South and Islands,1,1,1.9560646
1029933,0,0,0,16317.082,9.699967,Primary or less,74,19,105,South and Islands,1,1,1.9589223
1029945,0,0,0,47736.125,10.773444,Upper secondary,82,27,-39,South and Islands,2,0,1.5151618
1029978,0,0,0,58156.797,10.970898,Upper secondary,62,7,49,South and Islands,3,0,2.1230657
1029979,0,0,0,42150.0,10.64899,Lower secondary,68,13,-87,South and Islands,3,0,0.75421566
1030000,0,0,0,41109.406,10.623992,Lower secondary,77,22,-28,South and Islands,3,0,0.89155674
1030006,0,0,0,106014.62,11.571332,Lower secondary,59,4,16,South and Islands,4,0,0.44252878
1030015,0,0,0,30850.176,10.336898,Upper secondary,74,19,105,South and Islands,2,1,1.4696238
1030020,0,0,0,16586.1,9.71632,Lower secondary,74,19,105,South and Islands,2,0,1.3650072
1030026,0,0,0,16800.314,9.729153,Lower secondary,60,5,25,South and Islands,2,0,1.9984218
1030074,1,0,1,51186.465,10.84323,Upper secondary,57,2,4,South and Islands,4,0,0.08782285
1030079,0,0,0,58140.113,10.970612,University,49,-6,36,South and Islands,4,0,0.43074626
1030084,0,0,0,15910.0,9.674704,Upper secondary,46,-9,81,South and Islands,3,1,0.51252484
1030092,0,0,0,37832.8,10.540932,Upper secondary,41,-14,-60,South and Islands,4,1,0.5407258
1030106,0,0,0,9503.139,9.159377,Upper secondary,65,10,100,South and Islands,2,0,0.6926353
1030118,0,0,0,9160.0,9.1226015,Lower secondary,60,5,25,South and Islands,1,1,0.3594268
1030122,0,0,0,24014.654,10.086419,Upper secondary,43,-12,-112,South and Islands,4,0,0.11981506
1030124,0,0,0,21936.295,9.995898,Upper secondary,67,12,-112,South and Islands,1,1,0.3598003
