outcome,term,estimate,std_error,z_value,p_value
stock_participation,Intercept,-9.552113320917233,0.3935596145515065,-24.27107093242443,0.0
stock_participation,log_income,0.8071815146796464,0.03956660635883862,20.400574852418025,0.0
stock_participation,age_centered,0.003971809887208879,0.001390213727232336,2.856977894410548,0.004276956234723128
stock_participation,age_centered_squared,-0.0008488839937674176,0.00028985370630110806,-2.928663582053953,0.003404226514372999
stock_participation,household_size,-0.19160902619747064,0.018174008740057656,-10.543024873490998,0.0
stock_participation,female_head,-0.24644955567252358,0.031756846690275,-7.760517222511094,8.43769498715119e-15
stock_participation,education_Lower secondary,0.39273322858303683,0.0828965121168226,4.737632724879598,2.1622923733755073e-06
stock_participation,education_Upper secondary,0.7051440393043213,0.08262047598245577,8.53473707237001,0.0
stock_participation,education_University,0.9562622954727849,0.09104099253401692,10.50364532345672,0.0
stock_participation,region_Centre,-0.22207808189533795,0.03809907710201297,-5.828962242332228,5.577311945614838e-09
stock_participation,region_South and Islands,-0.8932085594359517,0.05931010940334439,-15.059971536413745,0.0
mutual_fund_or_etf,Intercept,-8.737803082078354,0.3879101230610951,-22.525328839387278,0.0
mutual_fund_or_etf,log_income,0.7153478268557306,0.038201323451484,18.72573414280341,0.0
mutual_fund_or_etf,age_centered,0.002724733822452966,0.001468348905333367,1.8556446717507888,0.06350422189416749
mutual_fund_or_etf,age_centered_squared,-0.000951036635199665,0.00030472957713749725,-3.1209200108939448,0.0018028699761865052
mutual_fund_or_etf,household_size,-0.16936061898814533,0.018697342232958627,-9.0580049762156,0.0
mutual_fund_or_etf,female_head,-0.23321283405116364,0.032548749908986936,-7.165031981359504,7.776002064474596e-13
mutual_fund_or_etf,education_Lower secondary,0.3561290441271446,0.094299262689077,3.776583548710993,0.00015899424233833948
mutual_fund_or_etf,education_Upper secondary,0.6607676533622209,0.09044298182927105,7.305903012016455,2.753353101070388e-13
mutual_fund_or_etf,education_University,0.8471087687192786,0.09838495991373677,8.610144980106893,0.0
mutual_fund_or_etf,region_Centre,-0.2704078177677686,0.04035905048999044,-6.700054002381281,2.0834223235510763e-11
mutual_fund_or_etf,region_South and Islands,-0.9059795835489961,0.0642699467041123,-14.096473235304972,0.0
direct_listed_stock,Intercept,-9.319561903654686,0.43702412494911597,-21.325051345254202,0.0
direct_listed_stock,log_income,0.7165973433367671,0.04350729867524054,16.470738592294484,0.0
direct_listed_stock,age_centered,0.006834621445076894,0.001831594537650754,3.7315144288665216,0.00019033210622310115
direct_listed_stock,age_centered_squared,-0.0007171737807730132,0.00037961493269633625,-1.8892138296011103,0.05886318236753052
direct_listed_stock,household_size,-0.1298325725454847,0.023788558147368542,-5.457773932374568,4.821409693711587e-08
direct_listed_stock,female_head,-0.17389108525929037,0.038641913066839735,-4.500064087368223,6.793297833151968e-06
direct_listed_stock,education_Lower secondary,0.25844694505494836,0.11842188243696435,2.1824255765611476,0.02907813840172091
direct_listed_stock,education_Upper secondary,0.5165578302431689,0.11526709940008013,4.481398707277697,7.415542675470732e-06
direct_listed_stock,education_University,0.8506433093492664,0.12576100645284538,6.763967093951484,1.3426371126001868e-11
direct_listed_stock,region_Centre,-0.11716191441530568,0.0592717289541029,-1.9766913583038903,0.048076528222037895
direct_listed_stock,region_South and Islands,-0.6877720903362782,0.08341162191769441,-8.245518724176476,2.220446049250313e-16
